FileName,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght,Readable
38a7c5df7c01ffeb114dfd28e0418b90066930bc.yml,121,0.25,0.1322314049586777,0.3194444444444444,0.2727272727272727,1.1805555555555556,14.571428571428571,0.05785123966942149,0,2.6707317073170733,0.23863636363636365,26.735537190082646,0.9305555555555556,0.5277777777777778,33.71111111111111,4.724489795918367,28,1,8,182,40,140,12,75,1.0
b24ca8dbca0e44281c52b05009628ae588064fb6.yml,89,0.2558139534883721,0.16853932584269662,0.3488372093023256,0.34831460674157305,1.8837209302325582,17.25,0.0449438202247191,0.058823529411764705,1.0588235294117647,0.2413793103448276,29.820224719101123,1.255813953488372,0.18604651162790697,48.666666666666664,3.3636363636363638,28,1,4,182,40,100,2,91,0.0
353ab32eeee090d392b98f38384f5134aea81944.yml,49,0.09302325581395349,0.12244897959183673,0.4418604651162791,0,0.4186046511627907,0,0,0.046511627906976744,2.697674418604651,0.3877551020408163,12.306122448979592,0.5813953488372093,0.18604651162790697,21.11764705882353,3.4081632653061225,0,0,6,63,4,42,0,64,1.0
12d11ea117dcefb1996626e7c8374dd6e34542d9.yml,50,0.09090909090909091,0.12,0.4318181818181818,0,0.45454545454545453,0,0,0.045454545454545456,2.6818181818181817,0.38,12.96,0.5681818181818182,0.18181818181818182,22.833333333333332,3.56,0,0,6,63,4,43,0,64,0.0
e7c05b1fda999e5676289386a956dc56df03eec2.yml,659,0.47145187601957583,0.019726858877086494,0.3442088091353997,0.05007587253414264,1.234910277324633,9.651041666666666,0.291350531107739,0.045171339563862926,6.031152647975078,0.329073482428115,27.25948406676783,1.265905383360522,0.38499184339314846,45.73869346733668,7.848854961832061,17,1,10,171,22,873,86,173,1.0
f08c8ef9b7d7cf8bbdb744636f64515ac072569d.yml,650,0.47029702970297027,0.02,0.3481848184818482,0.047692307692307694,1.2376237623762376,9.651041666666666,0.2953846153846154,0.044233807266982623,6.052132701421801,0.33279483037156704,27.141538461538463,1.2722772277227723,0.3564356435643564,46.125,7.848297213622291,17,1,10,171,22,863,84,173,0.0
e82982e3dce677090433ba54e21877001589927f.yml,118,0.6041666666666666,0.06779661016949153,0.4479166666666667,0.11864406779661017,2.0833333333333335,9.0,0.2711864406779661,0.10377358490566038,3.056603773584906,0.375,32.99152542372882,1.0729166666666667,0.4583333333333333,64.77142857142857,6.973684210526316,16,4,8,458,62,200,17,468,1.0
b2d0914354771fe972c3cc60e420f7d56710f316.yml,113,0.625,0.07079646017699115,0.4479166666666667,0.07964601769911504,2.1875,9.0,0.2831858407079646,0.1188118811881188,3.1881188118811883,0.375,33.469026548672566,1.1041666666666667,0.5208333333333334,67.44444444444444,7.376146788990826,16,4,8,458,62,210,17,468,0.0
9eef58c8009a1ee80968ccee7a79dc82f0692f50.yml,49,0.40425531914893614,0.04081632653061224,0.3617021276595745,0,1.0,9.0,0.02040816326530612,0.043478260869565216,4.191489361702128,0.3469387755102041,21.163265306122447,0.1276595744680851,0.1702127659574468,48.3125,5.571428571428571,9,1,6,210,2,55,1,218,1.0
d1514acf887d49c7ceb02e1414f2b745bcd25e0c.yml,49,0.46808510638297873,0.04081632653061224,0.3617021276595745,0,1.0638297872340425,9.0,0.02040816326530612,0.043478260869565216,4.191489361702128,0.3469387755102041,22.959183673469386,0.1276595744680851,0.1702127659574468,54.0,5.63265306122449,9,1,6,298,2,59,1,309,0.0
